Time,Month,Day,Year,Weekday,Market1Category1,Market1Category2,Market2Category1,Market2Category2,Market3Category1,Market3Category2,Market4Category1,Market4Category2,Trend,Month1,Month2,Month3,Month4,Month5,Month6,Month7,Month8,Month9,Month10,Month11,Month12,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Event1,Event2,Event3,Event4,Event5,Event6,Event7,Event28,Event8,Holiday1,Holiday2,Holiday3,Holiday4,Event9,Event10,Event11,Event12,Event13,Event14,Event15,Event16,Event17,Event18,Event19,Event20,Event21,Event22,Event23,Event24,Event25,Event26,Event27
81,4,22,2012,1,5571,5580,5653,5690,5646,5624,5462,5521,326,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,4,23,2012,2,5532,5560,5647,5726,5621,5644,5517,5499,327,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,4,24,2012,3,5490,5495,5539,5654,5487,5494,5409,5330,328,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,4,25,2012,4,5430,5314,5568,5560,5495,5435,5405,5218,329,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,4,26,2012,5,5537,5510,5655,5673,5596,5570,5487,5388,330,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,4,27,2012,6,5492,5411,5603,5590,5563,5537,5454,5355,331,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,4,28,2012,7,4985,5269,5134,5482,5091,5377,4908,5185,332,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,4,29,2012,1,5367,5408,5562,5642,5480,5556,5328,5414,333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,4,30,2012,2,5479,5512,5594,5650,5544,5633,5332,5372,334,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,4,31,2012,3,5076,5286,5168,5532,5139,5424,4847,5201,335,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,5,1,2012,4,5061,4641,5348,5412,5310,5404,5151,5182,336,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,5,2,2012,5,5171,5230,5434,5501,5273,5344,5054,5124,337,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
